Package	Required_version	filename	downloadlink
cairoDevice	2.24	cairoDevice_2.24.tar.gz	https://cran.r-project.org/src/contrib/Archive/cairoDevice/cairoDevice_2.24.tar.gz
calibrate	1.7.2	calibrate_1.7.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/calibrate/calibrate_1.7.2.tar.gz
calibrator	1.2-6	calibrator_1.2-6.tar.gz	https://cran.r-project.org/src/contrib/Archive/calibrator/calibrator_1.2-6.tar.gz
callr	2.0.2	callr_2.0.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/callr/callr_2.0.2.tar.gz
car	2.1-6	car_2.1-6.tar.gz	https://cran.r-project.org/src/contrib/Archive/car/car_2.1-6.tar.gz
carData	3.0-1	carData_3.0-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/carData/carData_3.0-1.tar.gz
caret	6.0-78	caret_6.0-78.tar.gz	https://cran.r-project.org/src/contrib/Archive/caret/caret_6.0-78.tar.gz
catnet	1.15.3	catnet_1.15.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/catnet/catnet_1.15.3.tar.gz
caTools	1.17.1	caTools_1.17.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/caTools/caTools_1.17.1.tar.gz
cclust	0.6-21	cclust_0.6-21.tar.gz	https://cran.r-project.org/src/contrib/Archive/cclust/cclust_0.6-21.tar.gz
cellranger	1.1.0	cellranger_1.1.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/cellranger/cellranger_1.1.0.tar.gz
ChainLadder	0.2.5	ChainLadder_0.2.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/ChainLadder/ChainLadder_0.2.5.tar.gz
changepoint	2.2.2	changepoint_2.2.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/changepoint/changepoint_2.2.2.tar.gz
checkmate	1.8.5	checkmate_1.8.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/checkmate/checkmate_1.8.5.tar.gz
checkpoint	0.4.3	checkpoint_0.4.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/checkpoint/checkpoint_0.4.3.tar.gz
choroplethrMaps	1.0.1	choroplethrMaps_1.0.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/choroplethrMaps/choroplethrMaps_1.0.1.tar.gz
chron	2.3-52	chron_2.3-52.tar.gz	https://cran.r-project.org/src/contrib/Archive/chron/chron_2.3-52.tar.gz
circlize	0.4.3	circlize_0.4.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/circlize/circlize_0.4.3.tar.gz
Ckmeans.1d.dp	4.2.1	Ckmeans.1d.dp_4.2.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/Ckmeans.1d.dp/Ckmeans.1d.dp_4.2.1.tar.gz
class	7.3-14	class_7.3-14.tar.gz	https://cran.r-project.org/src/contrib/Archive/class/class_7.3-14.tar.gz
classInt	0.3-3	classInt_0.3-3.tar.gz	https://cran.r-project.org/src/contrib/Archive/classInt/classInt_0.3-3.tar.gz
CLI	1.0.0	CLI_1.0.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/CLI/CLI_1.0.0.tar.gz
ClickClust	1.1.5	ClickClust_1.1.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/ClickClust/ClickClust_1.1.5.tar.gz
clickstream	1.3.0	clickstream_1.3.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/clickstream/clickstream_1.3.0.tar.gz
clue	0.3-54	clue_0.3-54.tar.gz	https://cran.r-project.org/src/contrib/Archive/clue/clue_0.3-54.tar.gz
cluster	2.0.6	cluster_2.0.6.tar.gz	https://cran.r-project.org/src/contrib/Archive/cluster/cluster_2.0.6.tar.gz
clv	0.3-2.1	clv_0.3-2.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/clv/clv_0.3-2.1.tar.gz
cmprsk	2.2-7	cmprsk_2.2-7.tar.gz	https://cran.r-project.org/src/contrib/Archive/cmprsk/cmprsk_2.2-7.tar.gz
coda	0.19-1	coda_0.19-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/coda/coda_0.19-1.tar.gz
codetools	0.2-15	codetools_0.2-15.tar.gz	https://cran.r-project.org/src/contrib/Archive/codetools/codetools_0.2-15.tar.gz
coefplot	1.2.6	coefplot_1.2.6.tar.gz	https://cran.r-project.org/src/contrib/Archive/coefplot/coefplot_1.2.6.tar.gz
coin	1.2-2	coin_1.2-2.tar.gz	https://cran.r-project.org/src/contrib/Archive/coin/coin_1.2-2.tar.gz
